# timestamp_ns, tx, ty, tz, qx, qy, qz, qw
1545308265716929792,-3.693607619,4.373336773,-0.919979022,-0.893574723,0.242931090,-0.087890853,0.367129267
1545308265718929920,-3.693717854,4.373172255,-0.920349424,-0.893617026,0.242871705,-0.088025151,0.367033402
1545308265720930048,-3.693826777,4.373008195,-0.920718356,-0.893651596,0.242821789,-0.088138925,0.366954949
1545308265722929920,-3.693934531,4.372844477,-0.921085962,-0.893679135,0.242780374,-0.088234154,0.366892391
1545308265724930048,-3.694041250,4.372680994,-0.921452379,-0.893700310,0.242746553,-0.088312712,0.366844289
1545308265726929920,-3.694147060,4.372517646,-0.921817732,-0.893715746,0.242719472,-0.088376367,0.366809270
1545308265728930048,-3.694252075,4.372354345,-0.922182135,-0.893726035,0.242698332,-0.088426785,0.366786037
1545308265730930176,-3.694356405,4.372191009,-0.922545694,-0.893731734,0.242682385,-0.088465535,0.366773359
1545308265732930048,-3.694460150,4.372027566,-0.922908502,-0.893733364,0.242670938,-0.088494086,0.366770073
1545308265734929920,-3.694563401,4.371863952,-0.923270645,-0.893731417,0.242663343,-0.088513817,0.366775082
1545308265736929792,-3.694666245,4.371700108,-0.923632198,-0.893726351,0.242659003,-0.088526014,0.366787353
1545308265738929920,-3.694768757,4.371535987,-0.923993229,-0.893718596,0.242657369,-0.088531873,0.366805917
1545308265740930048,-3.694871007,4.371371547,-0.924353796,-0.893708551,0.242657935,-0.088532507,0.366829863
1545308265742929920,-3.694973060,4.371206751,-0.924713949,-0.893696588,0.242660240,-0.088528945,0.366858341
1545308265744930048,-3.695074971,4.371041573,-0.925073730,-0.893683052,0.242663866,-0.088522134,0.366890560
1545308265746929920,-3.695176790,4.370875991,-0.925433174,-0.893668261,0.242668435,-0.088512946,0.366925781
1545308265748930048,-3.695278561,4.370709989,-0.925792307,-0.893652508,0.242673608,-0.088502174,0.366963323
1545308265750930176,-3.695380321,4.370543559,-0.926151150,-0.893636061,0.242679086,-0.088490542,0.367002556
1545308265752930048,-3.695482101,4.370376696,-0.926509715,-0.893619165,0.242684605,-0.088478702,0.367042900
1545308265754929920,-3.695583927,4.370209404,-0.926868011,-0.893602042,0.242689936,-0.088467239,0.367083824
1545308265756930048,-3.695685821,4.370041689,-0.927226036,-0.893584891,0.242694883,-0.088456674,0.367124846
1545308265758929920,-3.695787796,4.369873564,-0.927583787,-0.893567893,0.242699284,-0.088447466,0.367165527
1545308265760930048,-3.695889863,4.369705046,-0.927941253,-0.893551204,0.242703005,-0.088440013,0.367205475
1545308265762929920,-3.695992028,4.369536157,-0.928298417,-0.893534965,0.242705942,-0.088434660,0.367244336
1545308265764930048,-3.696094292,4.369366923,-0.928655260,-0.893519296,0.242708019,-0.088431694,0.367281800
1545308265766930176,-3.696196651,4.369197374,-0.929011756,-0.893504299,0.242709186,-0.088431354,0.367317594
1545308265768930048,-3.696299097,4.369027543,-0.929367876,-0.893490060,0.242709415,-0.088433827,0.367351482
1545308265770930176,-3.696401619,4.368857467,-0.929723585,-0.893476648,0.242708703,-0.088439256,0.367383264
1545308265772929792,-3.696504202,4.368687188,-0.930078848,-0.893464118,0.242707070,-0.088447741,0.367412772
1545308265774929920,-3.696606827,4.368516749,-0.930433623,-0.893452510,0.242704552,-0.088459340,0.367439870
1545308265776930048,-3.696709472,4.368346196,-0.930787867,-0.893441849,0.242701208,-0.088474074,0.367464454
1545308265778929920,-3.696812113,4.368175578,-0.931141534,-0.893432148,0.242697109,-0.088491928,0.367486446
1545308265780930048,-3.696914721,4.368004945,-0.931494575,-0.893423410,0.242692346,-0.088512855,0.367505795
1545308265782929920,-3.697017266,4.367834351,-0.931846941,-0.893415625,0.242687021,-0.088536776,0.367522477
1545308265784930048,-3.697119716,4.367663850,-0.932198577,-0.893408771,0.242681250,-0.088563587,0.367536487
1545308265786930176,-3.697222036,4.367493499,-0.932549431,-0.893402821,0.242675159,-0.088593158,0.367547845
1545308265788930048,-3.697324188,4.367323354,-0.932899448,-0.893397736,0.242668884,-0.088625336,0.367556590
1545308265790929920,-3.697426134,4.367153475,-0.933248570,-0.893393471,0.242662570,-0.088659951,0.367562778
1545308265792929792,-3.697527835,4.366983920,-0.933596743,-0.893389973,0.242656366,-0.088696814,0.367566482
1545308265794929920,-3.697629249,4.366814749,-0.933943909,-0.893387185,0.242650429,-0.088735723,0.367567789
1545308265796930048,-3.697730333,4.366646021,-0.934290011,-0.893385041,0.242644917,-0.088776464,0.367566799
1545308265798929920,-3.697831045,4.366477797,-0.934634994,-0.893383476,0.242639991,-0.088818814,0.367563624
1545308265800930048,-3.697931340,4.366310135,-0.934978801,-0.893382418,0.242635813,-0.088862545,0.367558384
1545308265802930176,-3.698031175,4.366143095,-0.935321379,-0.893381793,0.242632543,-0.088907424,0.367551208
1545308265804930048,-3.698130505,4.365976734,-0.935662674,-0.893381527,0.242630340,-0.088953218,0.367542230
1545308265806930176,-3.698229285,4.365811110,-0.936002634,-0.893381542,0.242629358,-0.088999696,0.367531589
1545308265808930048,-3.698327471,4.365646279,-0.936341210,-0.893381764,0.242629745,-0.089046631,0.367519425
1545308265810929920,-3.698425021,4.365482293,-0.936678354,-0.893382117,0.242631643,-0.089093803,0.367505881
1545308265812930048,-3.698521890,4.365319206,-0.937014021,-0.893382528,0.242635185,-0.089141001,0.367491098
1545308265814929920,-3.698618037,4.365157069,-0.937348170,-0.893382926,0.242640494,-0.089188029,0.367475215
1545308265816930048,-3.698713420,4.364995927,-0.937680762,-0.893383244,0.242647683,-0.089234702,0.367458364
1545308265818929920,-3.698808001,4.364835829,-0.938011761,-0.893383419,0.242656849,-0.089280858,0.367440675
1545308265820930048,-3.698901740,4.364676814,-0.938341135,-0.893383392,0.242668078,-0.089326349,0.367422267
1545308265822930176,-3.698994603,4.364518925,-0.938668857,-0.893383111,0.242681440,-0.089371050,0.367403254
1545308265824930048,-3.699086552,4.364362197,-0.938994902,-0.893382528,0.242696992,-0.089414855,0.367383741
1545308265826929920,-3.699177556,4.364206665,-0.939319249,-0.893381598,0.242714780,-0.089457675,0.367363827
1545308265828929792,-3.699267581,4.364052362,-0.939641879,-0.893380282,0.242734833,-0.089499440,0.367343602
1545308265830929920,-3.699356598,4.363899316,-0.939962777,-0.893378547,0.242757173,-0.089540095,0.367323152
1545308265832930048,-3.699444577,4.363747556,-0.940281931,-0.893376362,0.242781807,-0.089579605,0.367302553
1545308265834929920,-3.699531490,4.363597106,-0.940599330,-0.893373699,0.242808732,-0.089617948,0.367281876
1545308265836930048,-3.699617311,4.363447989,-0.940914968,-0.893370537,0.242837936,-0.089655117,0.367261187
1545308265838929920,-3.699702016,4.363300226,-0.941228840,-0.893366858,0.242869396,-0.089691121,0.367240544
1545308265840930048,-3.699785579,4.363153834,-0.941540941,-0.893362645,0.242903078,-0.089725982,0.367219999
1545308265842930176,-3.699867980,4.363008832,-0.941851272,-0.893357888,0.242938942,-0.089759735,0.367199598
1545308265844930048,-3.699949197,4.362865233,-0.942159832,-0.893352578,0.242976936,-0.089792429,0.367179383
1545308265846929920,-3.700029210,4.362723051,-0.942466625,-0.893346711,0.243017004,-0.089824122,0.367159389
1545308265848929792,-3.700108001,4.362582296,-0.942771653,-0.893340284,0.243059080,-0.089854886,0.367139647
1545308265850929920,-3.700185553,4.362442979,-0.943074921,-0.893333298,0.243103092,-0.089884802,0.367120181
1545308265852930048,-3.700261849,4.362305107,-0.943376436,-0.893325758,0.243148961,-0.089913961,0.367101012
1545308265854929920,-3.700336876,4.362168687,-0.943676204,-0.893317669,0.243196603,-0.089942465,0.367082155
1545308265856930048,-3.700410618,4.362033724,-0.943974234,-0.893309040,0.243245927,-0.089970422,0.367063621
1545308265858930176,-3.700483065,4.361900222,-0.944270532,-0.893299882,0.243296838,-0.089997950,0.367045417
1545308265860930048,-3.700554204,4.361768183,-0.944565109,-0.893290209,0.243349239,-0.090025173,0.367027546
1545308265862930176,-3.700624025,4.361637608,-0.944857972,-0.893280035,0.243403024,-0.090052222,0.367010005
1545308265864929792,-3.700692519,4.361508498,-0.945149131,-0.893269378,0.243458089,-0.090079235,0.366992790
1545308265866929920,-3.700759679,4.361380852,-0.945438594,-0.893258257,0.243514323,-0.090106354,0.366975892
1545308265868930048,-3.700825497,4.361254668,-0.945726370,-0.893246693,0.243571615,-0.090133727,0.366959297
1545308265870929920,-3.700889967,4.361129943,-0.946012467,-0.893234706,0.243629851,-0.090161504,0.366942992
1545308265872930048,-3.700953084,4.361006675,-0.946296893,-0.893222320,0.243688917,-0.090189841,0.366926956
1545308265874929920,-3.701014844,4.360884859,-0.946579654,-0.893209560,0.243748697,-0.090218895,0.366911169
1545308265876930048,-3.701075245,4.360764490,-0.946860757,-0.893196450,0.243809075,-0.090248826,0.366895606
1545308265878930176,-3.701134283,4.360645563,-0.947140205,-0.893183017,0.243869935,-0.090279795,0.366880242
1545308265880930048,-3.701191959,4.360528072,-0.947418002,-0.893169287,0.243931163,-0.090311964,0.366865046
1545308265882929920,-3.701248271,4.360412012,-0.947694149,-0.893155288,0.243992643,-0.090345495,0.366849988
1545308265884929792,-3.701303220,4.360297375,-0.947968649,-0.893141047,0.244054265,-0.090380550,0.366835035
1545308265886929920,-3.701356809,4.360184155,-0.948241497,-0.893126592,0.244115918,-0.090417290,0.366820152
1545308265888930048,-3.701409038,4.360072346,-0.948512692,-0.893111951,0.244177494,-0.090455872,0.366805303
1545308265890929920,-3.701459912,4.359961940,-0.948782228,-0.893097151,0.244238891,-0.090496453,0.366790450
1545308265892930048,-3.701509434,4.359852930,-0.949050096,-0.893082221,0.244300008,-0.090539188,0.366775555
1545308265894929920,-3.701557609,4.359745310,-0.949316286,-0.893067188,0.244360748,-0.090584224,0.366760578
1545308265896930048,-3.701604442,4.359639072,-0.949580786,-0.893052077,0.244421021,-0.090631707,0.366745477
1545308265898930176,-3.701649939,4.359534211,-0.949843578,-0.893036916,0.244480741,-0.090681778,0.366730213
1545308265900930048,-3.701694108,4.359430720,-0.950104645,-0.893021729,0.244539827,-0.090734570,0.366714743
1545308265902929920,-3.701736955,4.359328594,-0.950363965,-0.893006540,0.244598206,-0.090790213,0.366699025
1545308265904930048,-3.701778490,4.359227826,-0.950621511,-0.892991372,0.244655810,-0.090848825,0.366683018
1545308265906929920,-3.701818720,4.359128414,-0.950877256,-0.892976247,0.244712579,-0.090910523,0.366666678
1545308265908930048,-3.701857656,4.359030352,-0.951131166,-0.892961184,0.244768462,-0.090975409,0.366649966
1545308265910929920,-3.701895308,4.358933637,-0.951383206,-0.892946204,0.244823415,-0.091043581,0.366632840
1545308265912930048,-3.701931685,4.358838267,-0.951633334,-0.892931321,0.244877402,-0.091115126,0.366615259
1545308265914930176,-3.701966800,4.358744239,-0.951881507,-0.892916551,0.244930399,-0.091190119,0.366597184
1545308265916930048,-3.702000664,4.358651554,-0.952127676,-0.892901906,0.244982389,-0.091268626,0.366578576
1545308265918930176,-3.702033289,4.358560211,-0.952371788,-0.892887398,0.245033367,-0.091350701,0.366559398
1545308265920929792,-3.702064688,4.358470211,-0.952613784,-0.892873035,0.245083337,-0.091436387,0.366539614
1545308265922929920,-3.702094875,4.358381558,-0.952853602,-0.892858822,0.245132317,-0.091525712,0.366519189
1545308265924930048,-3.702123862,4.358294254,-0.953091175,-0.892844762,0.245180330,-0.091618696,0.366498091
1545308265926929920,-3.702151665,4.358208304,-0.953326432,-0.892830859,0.245227412,-0.091715347,0.366476286
1545308265928930048,-3.702178297,4.358123714,-0.953559300,-0.892817112,0.245273608,-0.091815660,0.366453745
1545308265930929920,-3.702203774,4.358040489,-0.953789698,-0.892803517,0.245318970,-0.091919622,0.366430437
1545308265932930048,-3.702228112,4.357958638,-0.954017545,-0.892790073,0.245363559,-0.092027208,0.366406336
