# timestamp_s, ang_vel_x, ang_vel_y, ang_vel_z, lin_acc_x, lin_acc_y, lin_acc_z
0.000000000,-0.157488264,-0.112887610,-0.075995333,0.309549708,-7.105018605,-5.380948853
0.001000960,-0.011547036,-0.052167545,-0.086647977,0.199378810,-5.816498097,-4.456471314
0.002001920,0.178070017,-0.023405405,-0.105822729,0.070047755,-6.582904347,-6.406017213
0.003004160,0.229202710,-0.046841221,-0.129258546,-0.016172948,-8.398329152,-9.797364869
0.004004864,0.072608854,-0.083060210,-0.145237521,-0.054493260,-9.155155324,-11.646319947
0.005007104,-0.146543040,-0.067000626,-0.133275488,-0.142682660,-7.665621243,-10.069253630
0.006008064,-0.231796179,0.017618861,-0.088960995,-0.162992117,-4.899541975,-6.340137658
0.007009024,-0.079050014,0.129343507,-0.029376229,-0.304041743,-3.344698047,-3.709205331
0.008010240,0.174485171,0.193300754,0.014466382,-0.368066001,-4.546266481,-4.498419095
0.009010944,0.281901977,0.163756370,0.013964181,-0.381580193,-7.527033377,-7.648427487
0.010013184,0.132509786,0.074182009,-0.027785414,-0.476619039,-9.610638145,-10.022491431
0.011014144,-0.173605333,0.001706568,-0.071406448,-0.473018148,-8.884761059,-9.090615726
0.012015104,-0.369348358,-0.001219619,-0.077532847,-0.507561464,-5.976374407,-5.287036638
0.013016832,-0.285416382,0.060741864,-0.045393371,-0.524781666,-3.620665099,-2.101981635
0.014018048,0.006918680,0.112645127,0.003634669,-0.460374930,-4.177078090,-2.693359404
0.015019008,0.193532419,0.080516210,0.017890103,-0.510104019,-7.321287229,-6.939416904
0.016020992,0.108758512,-0.016344686,-0.002502268,-0.598878236,-10.287336577,-11.040701313
0.017022208,-0.213585948,-0.108623092,-0.036880222,-0.617082279,-10.387673103,-11.691754046
0.018022912,-0.494939657,-0.124636361,-0.054293896,-0.768446467,-7.501296682,-8.238520794
0.019025152,-0.448060930,-0.040923686,-0.037250446,-0.702897196,-4.273286812,-3.976294732
0.020026112,-0.093635332,0.065381968,-0.002903095,-0.224751091,-3.726367628,-2.979369869
0.021028096,0.275114276,0.090188784,0.010036745,0.277397454,-6.447403636,-6.092716566
0.022028800,0.380282734,0.013908973,-0.013771374,0.472757962,-10.166810580,-10.317848392
0.023030016,0.154065228,-0.103938143,-0.059526397,0.217457264,-11.849549870,-12.094156913
0.024032000,-0.176248457,-0.161748586,-0.102357620,-0.349282649,-10.191074677,-9.556487241
0.025032960,-0.300608775,-0.098063374,-0.116363552,-0.610800157,-6.744408648,-4.855988035
0.026034176,-0.091408517,0.035793334,-0.099619121,-0.411612737,-4.570355888,-1.946055417
0.027036160,0.261946448,0.132567487,-0.072022368,-0.047044682,-5.480056787,-3.385615916
0.028037120,0.449668493,0.123364330,-0.055567965,0.146657707,-8.369115194,-7.610026136
0.029038080,0.322501121,0.035811345,-0.062146214,-0.152570014,-10.359553617,-10.758720741
0.030040064,-0.015986161,-0.028187414,-0.085606347,-0.783020870,-9.519993124,-10.443232312
0.031040768,-0.278781353,0.001130129,-0.100932138,-1.242407458,-6.491147504,-7.145842714
0.032041984,-0.255052343,0.110442230,-0.090737934,-1.084737695,-3.750839058,-3.942779927
0.033043968,-0.010954222,0.203559108,-0.060162076,-0.274214103,-3.353129202,-3.610378532
0.034045184,0.213866310,0.178698130,-0.026538194,0.478610571,-5.154293496,-5.932394281
0.035046912,0.231568156,0.041804990,-0.004883680,0.619290085,-7.170982907,-8.536084066
0.036048128,0.059204051,-0.108214532,-0.001338729,0.179987977,-7.506144624,-9.015891972
0.037049088,-0.125657647,-0.172981556,-0.009476978,-0.608300931,-5.997356818,-7.012729807
0.038050816,-0.153519533,-0.117707644,-0.019162486,-1.015304375,-4.397601650,-4.641043329
0.039052032,-0.020543472,-0.011488567,-0.023362235,-0.657475045,-4.560280540,-4.407961592
0.040052736,0.084052930,0.026157805,-0.021077962,-0.059239704,-6.490797416,-6.487431827
0.041055232,0.028049090,-0.032603481,-0.004182587,0.345233495,-8.463665247,-8.769478216
0.042055936,-0.166722922,-0.122615468,0.022187037,0.258771510,-8.655480935,-9.056982593
0.043057152,-0.331542591,-0.146241089,0.042219821,-0.258305648,-6.840053698,-6.860729671
0.044058880,-0.285608304,-0.053284529,0.047975963,-0.573820379,-4.885614130,-4.397266679
0.045060096,-0.055737582,0.093012065,0.038910931,-0.335992365,-4.933686793,-4.426552139
0.046061824,0.143994078,0.172384117,0.025479310,0.313728199,-7.199220651,-7.111806612
0.047063040,0.127809640,0.120064048,0.013649839,0.874493162,-9.732728372,-10.122379427
0.048063744,-0.088044559,-0.006993435,0.007240429,0.950851974,-10.106552067,-10.641747718
0.049065984,-0.304857091,-0.092731820,0.007681990,0.573298774,-7.730809532,-7.711652889
0.050066944,-0.268937071,-0.060914612,0.021018463,-0.044154778,-4.702373575,-3.764183302
0.051068160,0.040079682,0.063499376,0.041403923,-0.488818562,-3.998425784,-2.568910079
0.052070144,0.352455374,0.154785764,0.045946674,-0.503341684,-6.474797931,-5.403979368
0.053071104,0.392613297,0.115089800,0.019726001,-0.428893287,-10.007947666,-9.690541172
0.054072064,0.110995819,-0.020566121,-0.026378924,-0.527243597,-11.338897776,-11.529555245
0.055074304,-0.274524773,-0.129556428,-0.061252063,-0.761897249,-9.007402798,-8.874716482
0.056075008,-0.408407788,-0.113358491,-0.049999737,-1.108486216,-4.831255251,-3.710993118
0.057076992,-0.165385011,0.015738660,0.004871314,-1.089842296,-2.536665574,-0.735157055
0.058077952,0.236411895,0.124423302,0.068899824,-0.596606793,-4.126895239,-2.765267801
0.059078912,0.424878795,0.100201442,0.090594140,-0.136047938,-7.934441856,-8.091192990
0.060080896,0.244248723,-0.032603306,0.060826598,0.043624258,-10.360421617,-12.047268152
0.061082112,-0.168538095,-0.157301608,0.000852536,-0.129812307,-9.116025942,-11.431477351
0.062083072,-0.440374196,-0.160590388,-0.041190064,-0.452453074,-5.266531387,-6.867577719
0.063085056,-0.330402279,-0.029362551,-0.031438847,-0.313113443,-2.435151649,-2.713169636
0.064086272,0.037307152,0.115527912,0.007039448,0.366614101,-3.216336732,-2.939222388
0.065086976,0.316757466,0.142930673,0.034141626,1.118694103,-6.689030888,-6.904466238
0.066088960,0.279056437,0.042920415,0.033844671,1.484920867,-9.608860246,-10.493231320
0.067089920,-0.022976452,-0.079467906,0.010058615,1.066816024,-9.504739041,-10.379800268
0.068090880,-0.303535649,-0.099741955,-0.010571704,0.172590742,-6.986010888,-6.728460861
0.069093120,-0.312002203,0.005936846,-0.014205143,-0.331410673,-4.988301101,-3.380994606
0.070094080,-0.107376803,0.145636949,-0.011636163,-0.027832430,-5.620970567,-3.612371869
0.071096064,0.050723354,0.195407001,-0.015601148,0.607421308,-8.120942906,-6.908101172
0.072097024,-0.007502428,0.128395253,-0.019561683,0.814128480,-9.892358234,-9.992693705
0.073098240,-0.221458965,0.037000996,-0.018950486,0.131254196,-9.222195241,-10.220456839
0.074099968,-0.370709549,0.030348258,-0.015348473,-1.112128091,-6.870698194,-7.745944500
0.075100928,-0.278770195,0.131774814,-0.016854083,-1.859603305,-5.313868667,-5.462353854
0.076101888,-0.030157337,0.250052885,-0.032716566,-1.494268704,-6.046988162,-5.757234788
0.077104128,0.154214365,0.265817532,-0.054142860,-0.469583841,-8.110000687,-7.801600623
0.078105088,0.149225402,0.156180930,-0.058046814,0.276936865,-9.416531540,-9.085798521
0.079106048,0.018198779,0.008117168,-0.037740098,0.052525112,-8.833196171,-7.908357992
0.080108032,-0.051093229,-0.072895792,-0.015526326,-0.933957515,-7.166608023,-5.111834288
0.081108992,0.045253060,-0.051499178,-0.015156520,-1.642949338,-6.323415358,-3.523667150
0.082110208,0.210530265,0.006098698,-0.037225787,-1.360150590,-7.200210175,-4.770704570
0.083110912,0.254619856,-0.000606312,-0.066014152,-0.359628413,-8.612387367,-7.473655401
0.084112128,0.127409781,-0.087575303,-0.073131676,0.506998036,-8.813022548,-9.034298811
0.085113856,-0.080590497,-0.187831156,-0.052223661,0.454915514,-7.242683056,-8.240580296
0.086114816,-0.172978569,-0.211169704,-0.005854490,-0.382134745,-5.138869982,-6.196552401
0.087117056,-0.078774763,-0.126863585,0.036323930,-0.952286186,-4.324869096,-5.377615280
0.088118016,0.094547867,0.004152987,0.050163901,-0.458906738,-5.210932597,-6.666673780
0.089119232,0.173143759,0.075286289,0.039676035,0.595202322,-6.627899921,-8.736130519
0.090120960,0.101449997,0.046514128,0.025828874,1.284952032,-7.073352510,-9.494754248
0.091122176,-0.029264233,-0.021522971,0.018951030,1.303908639,-6.187661243,-7.981170058
0.092122880,-0.078446378,-0.051410793,0.009168554,0.714948351,-5.051804417,-5.452708959
0.093125120,0.007896789,-0.009683982,-0.012473929,0.274123494,-5.061679229,-4.208109961
0.094126080,0.116841579,0.054253319,-0.037926195,0.446561324,-6.426784862,-5.162385239
0.095127040,0.103896246,0.065637934,-0.046682210,0.638707764,-7.954896701,-7.059883427
0.096129024,-0.045154448,0.020273524,-0.023607374,0.361209032,-8.347711427,-8.078724947
0.097129984,-0.241348736,-0.027669521,0.014752029,-0.452184763,-7.495219140,-7.545955996
0.098130944,-0.337818600,-0.011729108,0.040279005,-1.319102321,-6.398284757,-6.373738961
0.099132928,-0.289096070,0.073562446,0.039339522,-1.451824851,-6.130254054,-6.027444558
0.100134144,-0.178472546,0.153452670,0.024437605,-0.916569225,-6.901211280,-6.970505462
0.101136128,-0.122397113,0.159656415,0.014588794,-0.483386193,-7.983281923,-8.474980989
0.102137088,-0.152446422,0.100158631,0.022298288,-0.535943823,-8.500607322,-9.171218219
0.103138048,-0.207279548,0.035146615,0.037185006,-0.947144747,-8.131872948,-8.230013494
0.104140032,-0.184975765,0.029661389,0.044417709,-1.124548748,-7.370377285,-6.263227692
0.105140992,-0.038779522,0.078159874,0.036570484,-0.501867750,-7.011102376,-4.711642465
0.106141952,0.142977705,0.105830528,0.018443698,0.543188794,-7.394366622,-4.593020072
0.107144192,0.252740423,0.050271746,0.001222070,0.930160692,-8.194185817,-5.736527839
0.108144896,0.230184219,-0.057327430,-0.014751004,0.415409994,-8.840615081,-7.250485153
0.109146112,0.103783120,-0.127423146,-0.040061286,-0.308421333,-8.888451366,-8.186215963
0.110148096,-0.046031911,-0.111492546,-0.070995829,-0.675085745,-8.184498465,-8.220268578
0.111149056,-0.137529577,-0.026341497,-0.085975222,-0.378116317,-6.972600772,-7.722526875
0.112150784,-0.136883178,0.052461393,-0.066816645,0.283224322,-5.746362134,-7.193475290
0.113152000,-0.059598235,0.071769212,-0.022899008,0.499211969,-4.984704386,-6.923820977
0.114152960,0.045728125,0.052674378,0.014506252,0.121258733,-5.061380099,-7.032947035
0.115155200,0.127847936,0.048260501,0.017517098,-0.286648288,-5.894725042,-7.353947454
0.116156160,0.148099197,0.080060216,-0.010369382,-0.158037853,-6.910099189,-7.545780849
0.117157120,0.102582734,0.111065609,-0.042164600,0.402639606,-7.456172593,-7.313288016
0.118159104,0.022326084,0.102604928,-0.052722373,0.761727848,-7.163938822,-6.397717380
0.119160064,-0.031483845,0.066514781,-0.042955310,0.645512590,-6.339880401,-4.947387271
0.120161024,-0.022738602,0.044003881,-0.031400812,0.252730222,-5.803378063,-3.898815990
0.121162752,0.026116896,0.052602948,-0.029158183,-0.057377951,-6.220239019,-4.296319313
0.122163968,0.024281512,0.060994232,-0.034644084,-0.256169236,-7.364900995,-6.215868096
0.123164928,-0.082161669,0.039978866,-0.036493249,-0.546677518,-8.145449207,-8.374574647
0.124167168,-0.263456632,0.008193106,-0.025670989,-1.019603508,-7.714423713,-9.215157404
0.125168128,-0.396729073,0.009163331,-0.004442346,-1.549998819,-6.320598357,-8.317102967
0.126170112,-0.371380216,0.067740471,0.025384529,-1.612301335,-5.228455072,-6.822816534
0.127171072,-0.200890118,0.144721186,0.054411567,-1.136270480,-5.492013085,-6.449806042
0.128172032,-0.018584486,0.172255146,0.074514830,-0.654425667,-6.842666213,-7.483876853
0.129173760,0.063491427,0.135956217,0.084041156,-0.580924001,-8.241149197,-8.741231131
0.130174720,0.037321152,0.083713340,0.077620364,-0.914228132,-8.806488753,-8.757294316
0.131175936,-0.007878025,0.077195660,0.062630620,-1.000303042,-8.638384987,-7.223443145
0.132177920,0.009087247,0.107022284,0.045600122,-0.482396546,-8.384601109,-5.359313316
0.133178880,0.086374397,0.112478787,0.035143854,0.394946642,-8.384721906,-4.382551522
0.134180096,0.158357085,0.048613622,0.032031796,1.090047867,-8.432696567,-4.692963648
0.135182080,0.179423788,-0.071694607,0.030006013,0.912088948,-8.116384764,-5.617953162
0.136183040,0.151294712,-0.167596477,0.024653567,-0.079899153,-7.498357184,-6.496777973
0.137184000,0.106007783,-0.174103997,0.009594595,-0.908762593,-7.071982561,-7.439549851
0.138186240,0.053242526,-0.111132372,-0.011533947,-0.985768475,-6.875499209,-8.496101899
0.139186944,-0.012625874,-0.054655885,-0.018955199,-0.563922637,-6.358207467,-9.049404354
0.140188928,-0.062474275,-0.046207812,0.002289805,-0.113780141,-5.112697052,-8.374332142
0.141190144,-0.026335202,-0.053546259,0.050457532,-0.048244639,-3.689713473,-6.645760508
0.142190848,0.111803341,-0.024562109,0.097746571,-0.234835982,-3.349639504,-5.186417217
0.143193088,0.263757031,0.031878053,0.116896319,-0.057317839,-4.753151698,-5.269893990
0.144194048,0.290178189,0.055008297,0.101441084,0.464483137,-7.071443448,-6.733999901
0.145195008,0.137197048,0.013666528,0.068795299,0.755114117,-8.560822867,-7.902906465
0.146196992,-0.127241136,-0.045999621,0.044284567,0.743331258,-8.264304944,-7.397235818
0.147198208,-0.326470023,-0.062983834,0.045466524,0.545727775,-6.889313102,-5.526594033
0.148199168,-0.352510175,-0.017259566,0.073029273,0.349243965,-5.955215286,-4.180289431
0.149200896,-0.236612702,0.045647689,0.108888364,0.360737233,-6.357652935,-4.814242711
0.150202112,-0.125028647,0.060480756,0.125561606,0.236324487,-7.578502932,-6.983137903
0.151204096,-0.104748868,0.034844801,0.114595977,-0.194642177,-8.440082856,-8.892127634
0.152205056,-0.150031457,0.026379059,0.082931262,-0.630682538,-8.387992186,-9.265109329
0.153206016,-0.178118311,0.075369922,0.054137312,-0.683367543,-7.851450166,-8.187014370
0.154208256,-0.129360096,0.151033554,0.044712657,-0.252298122,-7.583313981,-6.941459999
0.155208960,-0.027527691,0.190471610,0.054429984,0.336829417,-7.660109441,-6.406547070
0.156210176,0.070450302,0.167036742,0.071498622,0.638589182,-7.731972979,-6.360677171
0.157211136,0.131950660,0.110569941,0.081069974,0.375146928,-7.813328027,-6.503520751
0.158212096,0.146442493,0.078565620,0.071280317,-0.147055306,-8.201027035,-6.920558819
0.159214080,0.104597102,0.075403988,0.040532038,-0.338723090,-8.732383446,-7.575042004
0.160214784,0.018776940,0.061621323,-0.002886795,-0.194978049,-8.536146266,-7.747579283
